596 ---> 0	 Error rate (%): 51.30
597 ---> 0	 Error rate (%): 51.40
598 ---> 0	 Error rate (%): 51.50
599 ---> 0	 Error rate (%): 51.60
600 ---> 0	 Error rate (%): 51.70
601 ---> 0	 Error rate (%): 51.80
602 ---> 0	 Error rate (%): 51.90
603 ---> 0	 Error rate (%): 52.00
604 ---> 0	 Error rate (%): 52.10
605 ---> 0	 Error rate (%): 52.20
606 ---> 0	 Error rate (%): 52.30
607 ---> 0	 Error rate (%): 52.40
608 ---> 0	 Error rate (%): 52.50
609 ---> 0	 Error rate (%): 52.60
610 ---> 0	 Error rate (%): 52.70
611 ---> 0	 Error rate (%): 52.80
612 ---> 0	 Error rate (%): 52.90
613 ---> 0	 Error rate (%): 53.00
614 ---> 0	 Error rate (%): 53.10
615 ---> 0	 Error rate (%): 53.20
616 ---> 0	 Error rate (%): 53.30
617 ---> 0	 Error rate (%): 53.40
618 ---> 0	 Error rate (%): 53.50
619 ---> 0	 Error rate (%): 53.60
620 ---> 0	 Error rate (%): 53.70
621 ---> 0	 Error rate (%): 53.80
622 ---> 0	 Error rate (%): 53.90
623 ---> 0	 Error rate (%): 54.00
624 ---> 0	 Error rate (%): 54.10
625 ---> 0	 Error rate (%): 54.20
626 ---> 0	 Error rate (%): 54.30
627 ---> 0	 Error rate (%): 54.40
628 ---> 0	 Error rate (%): 54.50
629 ---> 0	 Error rate (%): 54.60
630 ---> 0	 Error rate (%): 54.70
631 ---> 0	 Error rate (%): 54.80
632 ---> 0	 Error rate (%): 54.90
633 ---> 0	 Error rate (%): 55.00
634 ---> 0	 Error rate (%): 55.10
635 ---> 0	 Error rate (%): 55.20
636 ---> 0	 Error rate (%): 55.30
637 ---> 0	 Error rate (%): 55.40
638 ---> 0	 Error rate (%): 55.50
639 ---> 0	 Error rate (%): 55.60
640 ---> 0	 Error rate (%): 55.70
641 ---> 0	 Error rate (%): 55.80
642 ---> 0	 Error rate (%): 55.90
643 ---> 0	 Error rate (%): 56.00
644 ---> 0	 Error rate (%): 56.10
645 ---> 0	 Error rate (%): 56.20
646 ---> 0	 Error rate (%): 56.30
647 ---> 0	 Error rate (%): 56.40
648 ---> 0	 Error rate (%): 56.50
649 ---> 0	 Error rate (%): 56.60
650 ---> 0	 Error rate (%): 56.70
651 ---> 0	 Error rate (%): 56.80
652 ---> 0	 Error rate (%): 56.90
653 ---> 0	 Error rate (%): 57.00
654 ---> 0	 Error rate (%): 57.10
655 ---> 0	 Error rate (%): 57.20
656 ---> 0	 Error rate (%): 57.30
657 ---> 0	 Error rate (%): 57.40
658 ---> 0	 Error rate (%): 57.50
659 ---> 0	 Error rate (%): 57.60
660 ---> 0	 Error rate (%): 57.70
661 ---> 0	 Error rate (%): 57.80
662 ---> 0	 Error rate (%): 57.90
663 ---> 0	 Error rate (%): 58.00
664 ---> 0	 Error rate (%): 58.10
665 ---> 0	 Error rate (%): 58.20
666 ---> 0	 Error rate (%): 58.30
667 ---> 0	 Error rate (%): 58.40
668 ---> 0	 Error rate (%): 58.50
669 ---> 669	 Error rate (%): 58.50
670 ---> 0	 Error rate (%): 58.60
671 ---> 0	 Error rate (%): 58.70
672 ---> 0	 Error rate (%): 58.80
673 ---> 0	 Error rate (%): 58.90
674 ---> 0	 Error rate (%): 59.00
675 ---> 0	 Error rate (%): 59.10
676 ---> 0	 Error rate (%): 59.20
677 ---> 0	 Error rate (%): 59.30
678 ---> 0	 Error rate (%): 59.40
679 ---> 0	 Error rate (%): 59.50
680 ---> 0	 Error rate (%): 59.60
681 ---> 0	 Error rate (%): 59.70
682 ---> 0	 Error rate (%): 59.80
683 ---> 0	 Error rate (%): 59.90
684 ---> 0	 Error rate (%): 60.00
685 ---> 685	 Error rate (%): 60.00
686 ---> 686	 Error rate (%): 60.00
687 ---> 0	 Error rate (%): 60.10
688 ---> 0	 Error rate (%): 60.20
689 ---> 689	 Error rate (%): 60.20
690 ---> 0	 Error rate (%): 60.30
691 ---> 0	 Error rate (%): 60.40
692 ---> 0	 Error rate (%): 60.50
693 ---> 693	 Error rate (%): 60.50
694 ---> 0	 Error rate (%): 60.60
695 ---> 0	 Error rate (%): 60.70
696 ---> 696	 Error rate (%): 60.70
697 ---> 0	 Error rate (%): 60.80
698 ---> 0	 Error rate (%): 60.90
699 ---> 699	 Error rate (%): 60.90
700 ---> 700	 Error rate (%): 60.90
701 ---> 0	 Error rate (%): 61.00
702 ---> 0	 Error rate (%): 61.10
703 ---> 703	 Error rate (%): 61.10
704 ---> 0	 Error rate (%): 61.20
705 ---> 0	 Error rate (%): 61.30
706 ---> 0	 Error rate (%): 61.40
707 ---> 707	 Error rate (%): 61.40
708 ---> 0	 Error rate (%): 61.50
709 ---> 0	 Error rate (%): 61.60
710 ---> 0	 Error rate (%): 61.70
711 ---> 0	 Error rate (%): 61.80
712 ---> 0	 Error rate (%): 61.90
713 ---> 713	 Error rate (%): 61.90
714 ---> 714	 Error rate (%): 61.90
715 ---> 0	 Error rate (%): 62.00
716 ---> 0	 Error rate (%): 62.10
717 ---> 717	 Error rate (%): 62.10
718 ---> 718	 Error rate (%): 62.10
719 ---> 0	 Error rate (%): 62.20
720 ---> 0	 Error rate (%): 62.30
721 ---> 721	 Error rate (%): 62.30
722 ---> 0	 Error rate (%): 62.40
723 ---> 0	 Error rate (%): 62.50
724 ---> 724	 Error rate (%): 62.50
